步履不停,8.8,4,日本特擅长拍这些轻节奏家庭琐事,2017-09-25 18:57:20
战争之王,8.6,4,装逼之王……分太高了……结局挺讽刺的,2017-09-24 16:51:28
哈利·波特与死亡圣器(下),8.7,4,总算看完了这个系列，记得当年还在影院看过来着，那时候没看过前几部，完全不知道在讲什么。现在再看别有一番滋味,2017-09-24 14:35:26
哈利·波特与死亡圣器(上),7.9,3,这色调真心看不下去，导演有毒,2017-09-24 10:59:43
哈利·波特与混血王子,7.5,2,这部真不好看，充斥着莫名其妙，节奏混乱不堪，基本上玩手机看完的,2017-09-23 19:09:46
哈利·波特与凤凰社,7.8,3,跟凤凰社关系不大啊,2017-09-23 15:31:12
哈利·波特与火焰杯,8.2,3,换导演了，明显感觉不太一样了，阴沉的色调，有点怪异的镜头转换,2017-09-23 13:04:18
哈利·波特与阿兹卡班的囚徒,8.3,5,这部很好看啊，比前两部好看,2017-09-22 21:24:16
彗星来的那一夜,8.4,5,被片名欺骗的好片 值得多刷,2017-09-21 23:21:24
终结者2：审判日,8.6,4,相比前一部，多了更多的思考与情感，内容上更加细腻并更经得起推敲，最后终结者的自杀很棒,2017-09-21 00:53:53
终结者,8.0,3,80年代的科幻，说不觑现在的科幻肯定不可能，但还是看点十足的，再加上施瓦辛格的变态身体和穿越元素，可以说不错了。但是剧情单薄了点，大半时间都在打斗，涉及设定部分仅仅寥寥几句带过，觉得不是很够。,2017-09-18 23:18:21
教父3,8.8,4,第三部没有前两部经典 没毛病,2017-09-17 17:13:18
教父2,9.1,5,总是因为太长而不敢去看，所以和第一部隔了很久，不过好片终究是不怕长啊。,2017-09-17 12:10:56
与狼共舞,8.9,5,看的236分钟版，太爽了，全程无尿点,2017-09-16 12:25:20
迁徙的鸟,9.1,5,bgm对纪录片的作用太大了，全程享受听完。,2017-09-14 11:12:25
勇士,8.9,4,男人的电影，救赎与自我救赎,2017-09-13 14:53:17
爱在午夜降临前,8.8,4,最终还是和平凡夫妻一样的吵来吵去，还穿插着出轨，诶。。,2017-09-12 14:54:49
爱在日落黄昏时,8.8,4,没第一部好看，可能过了该激情的年纪了吧，最后的性暗示太明显了，肯定因为滚床单而错过航班了,2017-09-11 20:28:47
房间,8.8,5,很压抑的电影，女主有点像shameless里的fiona，然后她老爸frank出现的时候震惊了，哈哈,2017-09-10 23:32:32
寿司之神,8.7,4,想吃寿司，另外有看到制作海苔，没看到寿司用到啊咋回事,2017-09-09 17:09:40
看不见的客人,8.7,5,这种悬疑片真的是看一部爽一部,2017-09-09 14:12:58
中央车站,8.7,4,催泪电影，一般一般,2017-09-09 10:55:28
我是山姆,8.8,3,很一般啊 评分这么高...,2017-09-08 15:34:38
枪火,8.6,5,好帅啊一秒变迷妹,2017-09-07 22:28:45
时空恋旅人,8.6,3,片名翻译不够好。,2017-09-07 20:50:53
海洋,9.0,5,大概是我看过最好看的海洋纪录片之一,2017-09-07 17:01:58
红辣椒,8.9,4,就觉得千叶好美啊……真·宅男梦想,2017-09-07 12:37:15
香水,8.4,3,香...香水有毒？,2017-09-06 17:06:56
花样年华,8.5,4,张曼玉身材真好,2017-09-05 22:36:42
撞车,8.6,4,好电影，很温柔的crash,2017-09-05 13:02:44
极盗车神,7.0,2,大失所望,2017-08-27 15:20:10
一次别离,8.7,4,最后女孩儿这么久没出来 是不是谁也没选啊……,2017-08-27 09:35:07
杀破狼·贪狼,7.1,4,还可以 ,2017-08-26 20:29:10
冒充者,7.5,4,再看电影依然觉得细思极恐,2017-07-15 09:30:46
情圣,7.2,3,女主真好看,2017-07-08 22:49:44
亲切的金子,7.6,4,剪辑好棒 bgm好棒 女主好美,2017-07-02 14:51:15
速度与激情8,7.0,3,抛开保罗的情怀，电影回归了平庸的节奏,2017-04-15 21:42:04
神奇动物在哪里,7.8,3,就这样吧……跟哈利波特还差很多,2017-03-22 19:38:11
浪潮,8.7,5,真是部好电影，法西斯无处不在啊，国内来说，远到十年文革，近到最近粉红遍地，都或有或无有点法西斯的影子。弱小的个体要是反对这种浪潮真的有点无能为力啊……,2017-03-20 19:20:17
藩篱,7.0,5,很不受待见的一部好片啊，可惜,2017-03-19 10:41:43
出租车司机,8.4,3,只是比较喜欢封面图,2017-03-16 19:05:36
欢乐好声音,8.1,4,套路但是欢乐,2017-03-13 21:01:38
跑调天后,6.9,2,也就梅姨的演技能支撑我看下去了吧,2017-03-12 18:24:10
我不是潘金莲,6.7,4,感觉没那么烂吧，还可以啊,2017-03-10 21:41:23
比利·林恩的中场战事,8.4,4,没看120帧挺可惜,2017-03-05 20:35:07
可可西里,8.7,5,你在可可西里踩过的每个脚印都可能是地球上有人类以来的第一个脚印,2017-03-05 16:35:33
月球,8.5,5,资本主义啊……,2017-03-05 14:55:24
梦之安魂曲,8.7,5,太好看了，全程高能，爽,2017-03-05 00:30:53
朗读者,8.5,3,凯特温斯莱特封后之作，感觉有点平庸啊,2017-03-04 20:52:41
美国丽人,8.5,5,American Pscho吧，太好看了,2017-03-04 16:49:03
一万公里的约定,4.6,1,大烂片啊，要不是为了我伦怎么会去看...,2017-03-04 11:17:11
海洋奇缘,7.5,5,太美了，完全是享受啊，忽略剧情的不足吧,2017-03-03 22:04:53
血战钢锯岭,8.7,4,前半段太闷啦，后面着实精彩。,2017-03-02 22:14:29
无敌破坏王,8.7,4,挺温馨的动画电影，设定比较有趣,2017-02-28 21:47:42
未麻的部屋,8.8,4,看了一遍没怎么看懂，多重人格真心不是那么好懂的啊……以后有时间二刷,2017-02-28 18:43:18
月光男孩,7.3,3,成年男主的腮帮可以和韦德有一拼了……,2017-02-26 22:36:36
海边的曼彻斯特,8.6,4,多么希望男主能振作起来啊,2017-02-26 19:19:38
摆渡人,4.0,1,就是小说里的桥段读一下，加点鸡汤，配点流行歌曲，就是电影了？导演和编剧现在的门槛也太低了吧，只求烂片导演们拍电影的时候麻烦拍短一点，浪费俩小时真不值当。,2017-02-26 14:34:44
罗曼蒂克消亡史,7.7,4,都是大牌啊……电影还不错......以后关注这个导演了,2017-02-26 00:13:24
再次出发之纽约遇见你,8.5,5,插曲都好好听啊，完美,2017-02-25 20:02:34
碧海蓝天,8.7,3,节奏太慢了，剧情乱七八糟，唯一能让坚持下去的也就是女主的颜了。,2017-02-25 15:27:09
你的名字。,8.4,3,唯美动画的弱点总是剧情啊，感觉逻辑无法自洽，穿越也是莫名其妙。,2017-02-25 11:05:01
被解救的姜戈,8.6,4,昆汀的暴力美学真的是做到了极致了啊，百看不厌,2017-02-24 23:36:04
我爱你,9.0,4,怎么说呢，分太高了，只是纯爱电影而已，太多感情分了吧。,2017-02-24 00:02:51
蓝色大门,8.3,4,我还不错喔,2017-02-22 20:39:29
导盲犬小Q,8.4,3,也就那样吧，没多感动人,2017-02-21 20:44:33
新龙门客栈,8.5,4,张曼玉真是演活了金镶玉啊,2017-02-20 21:08:45
魂断蓝桥,8.8,4,费雯丽的小眼神棒极了,2017-02-20 02:16:38
超脱,8.8,5,纪录片似的电影，压抑，负能量，共鸣，好看。,2017-02-19 21:06:53
七武士,9.2,5,没有大神们的分析能力，就觉得三小时多的电影，看着一点都不累，节奏感非常好，讲故事能力很强。,2017-02-19 16:48:11
七剑,5.8,4,没看过原著，单纯看电影还可以，就是剧情弱了点，杨采妮依旧美如画。,2017-02-18 21:04:18
角斗士,8.4,5,看的加长版，就是一个字，爽,2017-02-18 14:31:39
白日焰火,7.2,4,公映版删的乱七八糟……看着蛋疼,2017-02-18 08:47:21
荒蛮故事,8.8,5,有点像九号秘事的那种小故事黑色幽默，很喜欢这种风格的荒诞喜剧。,2017-02-16 22:41:37
绿里奇迹,8.7,5,恶意差评真的很恶心，如果能拔高评价电影的最低要求就好了。,2017-02-15 23:25:53
追凶者也,7.7,3,有亮点，但是后面动机有点牵强吧，不如不涉及什么全省经济比较好……,2017-02-13 12:00:06
千钧一发,8.7,2,不是很欣赏这种励志片，男主依靠作弊来实现梦想真的大丈夫？若是在太空中心脏病发作又该如何负责？,2017-02-12 19:45:03
月满轩尼诗,6.7,3,汤唯女神好美...,2017-02-12 16:42:45
东京物语,9.2,5,把人性刻画的淋漓尽致，这样的电影才好看。,2017-02-12 12:54:00
大卫·戈尔的一生,8.6,5,不知道是不是不够专心，结尾对我来说足够震撼，你们都能猜到么……,2017-02-11 12:59:43
变脸,8.4,5,好看，居然是吴宇森的，厉害,2017-02-09 22:10:17
阿飞正传,8.5,3,看了一圈评论，还是觉得最后梁朝伟的酱油来得有些莫名其妙，破坏了整部电影的完整性。,2017-02-08 18:50:19
降临,7.7,5,其实并不烧脑，很简单的一部科幻片，但很打动人。如果你能尽览一生，你会尝试改变吗？,2017-02-06 22:36:37
乘风破浪,6.8,3,感觉穿越梗玩得有bug，很多梗也都挺老的。,2017-02-05 15:40:58
西游伏妖篇,5.6,2,吴亦凡演得什么鬼，真恶心,2017-02-04 17:26:26
英国病人,8.5,5,虽然剧情可能比较不讨喜，但胜在演员和拍摄上，能让人深思的电影。,2017-02-03 23:55:53
遗愿清单,8.5,3,温情电影～,2017-02-01 14:58:03
燕尾蝶,8.6,5,爱死古力果啦,2017-01-31 16:56:52
廊桥遗梦,8.6,4,对纯爱电影没什么感觉，但这电影拍的是真好。,2017-01-30 20:08:28
人人都说我爱你,7.3,1,好无聊的电影,2017-01-29 15:17:22
模仿游戏,8.6,4,据说不太符合图灵本身，好感略降,2017-01-28 20:55:28
